第一申请人,第一申请人地区,第一申请人城市,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types,main_chain_position,main_quantum_category,firm_relevance
三未信安科技股份有限公司,中国,北京,2025,2025,1,10,10.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子计算；量子计算机,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
三菱电机株式会社,日本,,2025,2025,1,9,9.0,量子计算,量子计算系统,量子态；量子计算；量子计算机,1,0,0,0,"企业,企业",量子计算系统,量子计算,较高相关企业
上海中绿新能源科技有限公司,中国,上海,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海交大知识产权管理有限公司,中国,上海市,2023,2023,2,18,9.0,量子计算,量子计算系统,量子态；量子纠缠；量子计算；量子计算机,2,0,0,0,企业,量子计算系统,量子计算,核心量子企业
上海交通大学,中国,上海,2024,2025,9,83,9.222222222222221,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子软件/算法/模拟；量子通信与安全,光学频率传递；光量子计算；激光器；量子传感；量子密钥；量子密钥分发；量子态；量子测量；量子电路；量子算法；量子计算；量子计算机；量子门,5,1,2,1,"学校；学校,企业,企业；学校,科研单位；科研单位,学校",量子传感器/精密测量,量子传感,核心量子企业
上海交通大学,中国,上海市,2021,2023,33,178,5.393939393939394,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,保真度；光学频率传递；光调制器；光量子计算；光钟；单光子探测器；原子钟；叠加态；时间频率传输；时间频率传递；激光器；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子磁力计；量子纠缠；量子计算；量子通信；量子门；频率基准；频率标准,7,5,2,19,学校,量子计量/时间频率/PNT候选,量子传感,核心量子企业
上海交通大学医学院附属仁济医院,中国,上海,2025,2025,1,5,5.0,量子计算,量子计算系统,qubit,0,1,0,0,机关团体,量子计算系统,量子计算,候选/待复核企业
上海交通大学医学院附属瑞金医院,中国,上海,2025,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,机关团体,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海亦波亦粒科技有限公司,中国,上海,2025,2025,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
上海众人网络安全技术有限公司,中国,上海市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铯原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海优扬新媒信息技术有限公司,中国,上海市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海健康医学院,中国,上海市,2023,2023,1,5,5.0,量子计算,量子软件/算法/模拟,量子模拟,0,1,0,0,学校,量子软件/算法/模拟,量子计算,候选/待复核企业
上海先积集成电路有限公司,中国,上海市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海光链电子科技有限公司,中国,上海,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海公安学院,中国,上海,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,1,0,0,学校,量子通信与安全,量子通信与安全,候选/待复核企业
上海助通信息科技有限公司,中国,上海,2025,2025,1,14,14.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分配；量子态；量子计算,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
上海卫星工程研究所,中国,上海,2024,2025,2,13,6.5,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,光钟；冷原子干涉；冷原子钟；原子干涉；原子钟,1,0,0,1,企业,量子传感器/精密测量,量子传感,较高相关企业
上海卫星工程研究所,中国,上海市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海同态信息科技有限责任公司,中国,上海,2025,2025,1,10,10.0,量子通信与安全,量子通信与安全,抗量子加密；量子密钥；量子密钥分发,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
上海国盾量子信息技术有限公司,中国,上海,2024,2024,6,41,6.833333333333333,量子通信与安全,量子通信与安全,QKD；单光子探测器；激光器；量子密钥；量子密钥分发；量子态,1,5,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
上海国盾量子信息技术有限公司,中国,上海市,2021,2024,7,50,7.142857142857143,量子通信与安全,量子通信与安全,QKD；单光子探测器；激光器；量子密钥；量子密钥分发；量子态；量子通信,2,5,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
上海国科航星量子科技有限公司,中国,上海市,2022,2022,2,10,5.0,量子通信与安全,量子通信与安全,量子通信,0,2,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
上海图灵智算量子科技有限公司,中国,上海,2024,2025,6,66,11.0,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,光量子计算；量子态；量子比特；量子线路；量子计算；量子计算机；量子门,5,1,0,0,"企业；企业,企业",量子计算系统,量子计算,核心量子企业
上海图灵智算量子科技有限公司,中国,上海市,2022,2023,3,41,13.666666666666666,量子计算,量子计算系统,叠加态；量子态；量子比特；量子线路；量子计算；量子门,3,0,0,0,企业,量子计算系统,量子计算,核心量子企业
上海大学,中国,上海,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,学校,量子通信与安全,量子通信与安全,候选/待复核企业
上海大学,中国,上海市,2021,2022,2,9,4.5,量子传感；量子基础概念,其他量子相关/待复核；量子传感器/精密测量,MOT；量子态,0,1,1,0,学校,其他量子相关/待复核,量子基础概念,候选/待复核企业
上海大帜信息技术有限公司,中国,上海,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海安密信科技有限公司,中国,上海市,2023,2023,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
上海工程技术大学,中国,上海市,2023,2023,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,学校,量子计算系统,量子计算,候选/待复核企业
上海循态信息科技有限公司,中国,上海市,2021,2021,8,74,9.25,量子通信与安全,量子通信与安全,激光器；量子保密通信；量子信息；量子密钥；量子密钥分发；量子态；量子相干；量子通信,5,3,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
上海循态量子科技有限公司,中国,上海,2024,2025,9,45,5.0,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,激光器；量子密钥；量子密钥分发；量子态,0,8,1,0,企业,量子通信与安全,量子通信与安全,核心量子企业
上海循态量子科技有限公司,中国,上海市,2021,2022,10,65,6.5,量子通信与安全,量子通信与安全,激光器；量子保密通信；量子密钥；量子密钥分发；量子相干,3,7,0,0,"企业；企业,学校；企业,科研单位,学校",量子通信与安全,量子通信与安全,核心量子企业
上海循源生物科技有限公司,中国,上海,2025,2025,1,4,4.0,量子基础概念,其他量子相关/待复核,量子纠缠,0,0,1,0,企业,其他量子相关/待复核,量子基础概念,候选/待复核企业
上海微观纪元数字科技有限公司,中国,上海,2025,2025,1,9,9.0,量子计算,量子计算系统,量子态；量子电路；量子门,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
上海微观纪元数字科技有限公司,中国,上海市,2023,2023,1,19,19.0,量子通信与安全,量子通信与安全,分布式量子计算；量子比特；量子算法；量子计算；量子计算机,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
上海思量量子科技有限公司,中国,上海市,2022,2022,1,5,5.0,量子传感,其他量子相关/待复核,量子技术,0,1,0,0,企业,其他量子相关/待复核,量子传感,候选/待复核企业
上海惟堪建筑工程技术有限公司,中国,上海,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海方位角数据科技有限公司,中国,上海市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海无线电设备研究所,中国,上海市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海旺脉信息科技集团有限公司,中国,上海,2025,2025,1,14,14.0,量子计算,量子计算系统,叠加态；量子比特；量子计算；量子计算机,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
上海晶维材料科技有限公司,中国,上海,2025,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海朗研光电科技有限公司,中国,上海市,2021,2021,1,14,14.0,量子通信与安全,量子通信与安全,单光子探测器；激光器；量子密钥；量子密钥分发；量子通信,1,0,0,0,"企业,学校",量子通信与安全,量子通信与安全,较高相关企业
上海朝夕网络技术有限公司,中国,上海,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,1,0,0,"企业,学校",量子通信与安全,量子通信与安全,候选/待复核企业
上海期智研究院,中国,上海,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子安全通信,0,1,0,0,科研单位,量子通信与安全,量子通信与安全,候选/待复核企业
上海梦象智能科技有限公司,中国,上海,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海民航职业技术学院,中国,上海,2025,2025,1,7,7.0,量子计算,量子计算系统,量子态；量子线路,0,1,0,0,学校,量子计算系统,量子计算,候选/待复核企业
上海海事大学,中国,上海,2024,2025,4,37,9.25,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,保真度；光量子比特；量子态；量子比特；量子线路；量子门,3,1,0,0,学校,量子计算系统,量子计算,核心量子企业
上海海事大学,中国,上海市,2022,2024,2,20,10.0,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,保真度；光量子比特；量子态；量子比特,1,1,0,0,学校,量子计算系统,量子计算,核心量子企业
上海理工大学,中国,上海市,2021,2022,2,10,5.0,量子传感；量子基础概念,其他量子相关/待复核；量子传感器/精密测量,激光器；量子传感；量子态,0,1,1,0,学校,量子传感器/精密测量,量子传感,较高相关企业
上海瑞柯恩激光技术有限公司,中国,上海市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海电力大学,中国,上海,2024,2024,2,10,5.0,量子计算,量子计算系统,量子比特；量子计算,0,2,0,0,学校,量子计算系统,量子计算,较高相关企业
上海电力学院,中国,上海市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,学校,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海矢元电子股份有限公司,中国,上海市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海示方科技有限公司,中国,上海市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子频标,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海科技大学,中国,上海,2025,2025,1,5,5.0,量子计算,量子计算系统,量子电路,0,1,0,0,学校,量子计算系统,量子计算,候选/待复核企业
上海精密计量测试研究所,中国,上海市,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率；原子钟频率驾驭；氢原子钟；频率驾驭,0,0,0,1,科研单位,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海聆芯科技有限公司,中国,上海市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海联影医疗科技股份有限公司,中国,上海市,2022,2023,4,20,5.0,量子传感,量子传感器/精密测量,NV色心,0,4,0,0,企业,量子传感器/精密测量,量子传感,核心量子企业
上海航天测控通信研究所,中国,上海市,2021,2023,5,15,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟；频率基准,0,0,0,5,企业,量子计量/时间频率/PNT候选,量子传感,较高相关企业
上海芯联芯智能科技有限公司,中国,上海市,2022,2022,1,3,3.0,量子计算,量子计算系统,量子计算,0,0,1,0,企业,量子计算系统,量子计算,候选/待复核企业
上海蔚来汽车有限公司,中国,上海市,2021,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
上海裕达实业有限公司,中国,上海,2024,2025,6,30,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,6,0,0,企业,量子计算硬件/量子芯片,量子计算硬件,核心量子企业
上海裕达实业有限公司,中国,上海市,2021,2022,3,15,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,3,0,0,企业,量子计算硬件/量子芯片,量子计算硬件,较高相关企业
上海西虹桥导航技术有限公司,中国,上海,2025,2025,1,5,5.0,量子传感,量子传感器/精密测量,量子测量,0,1,0,0,"企业,学校",量子传感器/精密测量,量子传感,候选/待复核企业
上海证锘信息科技有限公司,中国,上海市,2023,2023,1,5,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
上海酷潮科技股份有限公司,中国,上海,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
上海量子科学研究中心,中国,上海,2025,2025,2,12,6.0,量子传感；量子通信与安全,量子传感器/精密测量；量子通信与安全,激光器；量子传感；量子传感器；量子密钥；量子密钥分发,0,2,0,0,"科研单位,学校；科研单位,学校,科研单位",量子传感器/精密测量,量子传感,较高相关企业
上海量羲技术有限公司,中国,上海,2024,2025,5,46,9.2,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,离子阱；稀释制冷机；超高真空；量子芯片；量子计算；量子计算机,4,1,0,0,"企业；企业,企业",量子计算硬件/量子芯片,量子计算硬件,核心量子企业
世融能量科技有限公司,中国,北京,2025,2025,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
东京毅力科创株式会社,日本,,2024,2024,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,企业,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
东北师范大学,中国,长春,2025,2025,1,10,10.0,量子传感,量子传感器/精密测量,量子信息；量子精密测量,1,0,0,0,学校,量子传感器/精密测量,量子传感,较高相关企业
东北林业大学,中国,哈尔滨市,2021,2021,2,15,7.5,量子传感；量子计算,量子计算系统,量子信息；量子比特,1,1,0,0,学校,量子计算系统,量子传感,较高相关企业
东北电力大学,中国,吉林市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,"企业,学校",量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
东华大学,中国,上海,2025,2025,2,10,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,2,0,0,"学校,学校,科研单位",量子通信与安全,量子通信与安全,较高相关企业
东华大学,中国,上海市,2021,2023,3,19,6.333333333333333,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态,1,2,0,0,"企业,学校；学校",量子通信与安全,量子通信与安全,较高相关企业
东华理工大学,中国,南昌市,2021,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,学校,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
东南大学,中国,南京,2024,2025,18,187,10.38888888888889,量子传感；量子计算；量子通信与安全,量子传感器/精密测量；量子计算系统；量子软件/算法/模拟；量子通信与安全,NV色心；qubit；保真度；光调制器；激光器；量子传感；量子传感器；量子信息；量子密钥；量子态；量子模拟；量子比特；量子电路；量子相干；量子算法；量子精密测量；量子线路；量子网络；量子计算；量子计算机；量子门；金刚石NV色心,9,9,0,0,"学校；学校,企业",量子计算系统,量子计算,核心量子企业
东南大学,中国,南京市,2021,2023,10,70,7.0,量子传感；量子计算；量子通信与安全,量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,保真度；物理量子比特；逻辑量子比特；量子密钥；量子密钥分发；量子态；量子比特；量子测量；量子纠缠；量子线路；量子计算；量子计算机；量子通信；量子门；频率标准,2,7,0,1,"企业,学校；学校",量子计算系统,量子计算,核心量子企业
东莞声索电子有限公司,中国,东莞市,2023,2023,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
东莞市启扬检测技术有限公司,中国,东莞,2025,2025,1,5,5.0,量子传感,量子传感器/精密测量,量子传感；量子传感器,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
东莞市楷模家居用品制造有限公司,中国,东莞,2025,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
东莞市纽格力信息技术有限公司,中国,东莞市,2023,2023,1,4,4.0,量子基础概念,其他量子相关/待复核,量子纠缠,0,0,1,0,企业,其他量子相关/待复核,量子基础概念,候选/待复核企业
东莞理工学院,中国,东莞,2024,2024,1,10,10.0,量子计算,量子计算系统,量子比特；量子门,1,0,0,0,学校,量子计算系统,量子计算,较高相关企业
东莞理工学院,中国,东莞市,2023,2023,1,4,4.0,量子基础概念,其他量子相关/待复核,叠加态,0,0,1,0,学校,其他量子相关/待复核,量子基础概念,候选/待复核企业
东软睿驰汽车技术(沈阳)有限公司,中国,沈阳,2024,2024,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
东风汽车集团有限公司,中国,武汉市,2021,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
东风汽车集团股份有限公司,中国,武汉,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,后量子加密,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
中信建投证券股份有限公司,中国,北京,2025,2025,1,10,10.0,量子通信与安全,量子通信与安全,抗量子攻击；量子密钥,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
中信银行股份有限公司,中国,北京,2025,2025,1,14,14.0,量子计算,量子计算系统,量子态；量子比特；量子电路,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
中共中央办公厅电子科技学院,中国,北京,2024,2024,3,30,10.0,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发；量子通信,3,0,0,0,"企业,学校",量子通信与安全,量子通信与安全,核心量子企业
中共中央办公厅电子科技学院,中国,北京市,2023,2024,4,40,10.0,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发；量子通信,4,0,0,0,"企业,学校",量子通信与安全,量子通信与安全,核心量子企业
中兴通讯股份有限公司,中国,深圳,2025,2025,2,24,12.0,量子通信与安全,量子通信与安全,QKD；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子通信,1,1,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
中兴通讯股份有限公司,中国,深圳市,2021,2023,2,34,17.0,量子通信与安全,量子通信与安全,QKD；量子中继；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子通信,2,0,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
中冶武勘工程技术有限公司,中国,武汉,2025,2025,1,12,12.0,量子传感,上游材料与核心部件,单光子探测器；量子信息；量子纠缠,1,0,0,0,企业,上游材料与核心部件,量子传感,较高相关企业
中创为(成都)量子通信技术有限公司,中国,成都,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
中北大学,中国,太原,2024,2025,6,35,5.833333333333333,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,NV色心；原子频标；激光器；量子传感；量子精密测量；金刚石NV色心,1,4,0,1,学校,量子传感器/精密测量,量子传感,核心量子企业
中北大学,中国,太原市,2021,2023,9,65,7.222222222222222,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,NV色心；保真度；光调制器；原子钟；激光器；量子传感；量子传感器；金刚石NV色心,3,5,0,1,学校,量子传感器/精密测量,量子传感,核心量子企业
中南大学,中国,长沙,2024,2025,17,147,8.647058823529411,量子传感；量子计算；量子通信与安全,量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,光调制器；激光器；量子密钥；量子密钥分发；量子态；量子比特；量子电路；量子纠缠；量子线路；量子网络；量子计算；量子通信；量子门；频率基准,11,5,0,1,"企业,学校；学校；学校,企业",量子计算系统,量子计算,核心量子企业
