period,keyword,tfidf_score,frequency,document_count,document_share
2026-01_02,hydrogen policy,0.135073,24,2,0.095238
2026-01_02,refueling stations,0.133621,44,2,0.095238
2026-01_02,industrial hubs,0.125256,22,2,0.095238
2026-01_02,steel,0.121666,32,5,0.238095
2026-01_02,scale production,0.121326,17,2,0.095238
2026-01_02,energy infrastructure,0.120982,24,2,0.095238
2026-01_02,hydrogen gear,0.120982,24,2,0.095238
2026-01_02,fuel cell stacks,0.120293,19,3,0.142857
2026-01_02,capacity green hydrogen,0.11928,9,1,0.047619
2026-01_02,liquid,0.118608,26,3,0.142857
2026-01_02,battery storage,0.109281,25,2,0.095238
2026-01_02,green hydrogen costs,0.106765,19,2,0.095238
2026-01_02,hydrogen costs,0.106765,19,2,0.095238
2026-01_02,hydrogen energy,0.100351,16,2,0.095238
2026-01_02,federal hydrogen,0.097022,20,2,0.095238
2026-01_02,gen hydrogen,0.096543,7,2,0.095238
2026-01_02,gen hydrogen production,0.096543,7,2,0.095238
2026-01_02,bipartisan infrastructure,0.091349,13,2,0.095238
2026-01_02,bipartisan infrastructure law,0.091349,13,2,0.095238
2026-01_02,infrastructure law,0.091349,13,2,0.095238
2026-01_02,gas storage,0.091235,11,1,0.047619
2026-01_02,fuel cell trucks,0.085123,14,2,0.095238
2026-01_02,infrastructure readiness,0.078342,23,2,0.095238
2026-01_02,commercial aircraft,0.07813,1,1,0.047619
2026-01_02,fast refueling,0.072933,10,2,0.095238
2026-01_02,hydrogen car,0.070285,11,5,0.238095
2026-01_02,hydrogen storage,0.066853,18,5,0.238095
2026-01_02,production costs,0.066146,12,2,0.095238
2026-01_02,humming hydrogen,0.063828,14,2,0.095238
2026-01_02,clean hydrogen production,0.062474,12,3,0.142857
2026-01_02,pure hydrogen,0.062417,11,3,0.142857
2026-01_02,ev hydrogen,0.06129,1,1,0.047619
2026-01_02,broader hydrogen,0.060968,10,2,0.095238
2026-01_02,refuel,0.06068,10,2,0.095238
2026-01_02,turbine,0.05862,11,2,0.095238
2026-01_02,mapping hydrogen,0.057327,19,1,0.047619
2026-01_02,traditional hydrogen,0.055832,17,2,0.095238
2026-01_02,traditional hydrogen production,0.055832,17,2,0.095238
2026-01_02,national hydrogen,0.053921,21,2,0.095238
2026-01_02,fuel cell solutions,0.048819,10,2,0.095238
2026-01_02,fuel cell technology powers,0.045306,9,3,0.142857
2026-01_02,steel mills,0.043586,11,3,0.142857
2026-01_02,clean hydrogen production tax,0.043454,9,2,0.095238
2026-01_02,production tax,0.043454,9,2,0.095238
2026-01_02,hydrogen pipeline,0.039804,15,2,0.095238
2026-01_02,ammonia plants,0.03866,6,2,0.095238
2026-01_02,industrial heat,0.03665,5,2,0.095238
2026-01_02,power generation,0.03665,5,2,0.095238
2026-01_02,high pressure hydrogen,0.032335,6,2,0.095238
2026-01_02,high pressure hydrogen cylinders,0.032335,6,2,0.095238
2026-01_02,pressure hydrogen,0.032335,6,2,0.095238
2026-01_02,pressure hydrogen cylinders,0.032335,6,2,0.095238
2026-01_02,michigan geologic hydrogen,0.028345,7,2,0.095238
2026-01_02,fuel cell technology isn,0.023886,3,2,0.095238
2026-01_02,geologic hydrogen exploration,0.021286,4,2,0.095238
2026-01_02,michigan geologic hydrogen exploration,0.021286,4,2,0.095238
2026-01_02,storage solutions,0.018121,3,3,0.142857
2026-01_02,storage solutions growing,0.018121,3,3,0.142857
2026-01_02,duty trucks steel,0.011569,3,2,0.095238
2026-01_02,duty trucks steel mills,0.011569,3,2,0.095238
2026-01_02,heavy duty trucks steel,0.011569,3,2,0.095238
2026-01_02,trucks steel,0.011569,3,2,0.095238
2026-01_02,trucks steel mills,0.011569,3,2,0.095238
2026-03_04,green hydrogen,1.053691,329,14,0.666667
2026-03_04,fuel cell,1.001737,294,12,0.571429
2026-03_04,infrastructure,0.903281,318,19,0.904762
2026-03_04,industrial,0.894187,336,14,0.666667
2026-03_04,fuel cells,0.81879,227,9,0.428571
2026-03_04,production,0.815586,326,19,0.904762
2026-03_04,storage,0.751014,239,15,0.714286
2026-03_04,pipeline,0.637012,113,6,0.285714
2026-03_04,aviation,0.602581,111,2,0.095238
2026-03_04,hydrogen infrastructure,0.559286,143,11,0.52381
2026-03_04,hydrogen storage,0.552437,94,5,0.238095
2026-03_04,hydrogen fuel,0.547018,178,11,0.52381
2026-03_04,electrolysis,0.539795,154,9,0.428571
2026-03_04,hydrogen production,0.449127,140,13,0.619048
2026-03_04,hydrogen fuel cells,0.420755,103,6,0.285714
2026-03_04,fuel cell technology,0.416929,88,6,0.285714
2026-03_04,electrolyzer,0.318177,94,9,0.428571
2026-03_04,transport,0.316066,85,10,0.47619
2026-03_04,hydrogen fuel cell,0.291193,67,4,0.190476
2026-03_04,refueling,0.288341,65,7,0.333333
2026-03_04,industrial decarbonization,0.268452,75,11,0.52381
2026-03_04,shipping,0.264713,61,6,0.285714
2026-03_04,renewable hydrogen,0.259406,34,3,0.142857
2026-03_04,green hydrogen production,0.234848,53,6,0.285714
2026-03_04,hydrogen supply,0.210473,32,4,0.190476
2026-03_04,scale hydrogen,0.201434,28,3,0.142857
2026-03_04,energy storage,0.185644,30,3,0.142857
2026-03_04,large scale hydrogen,0.1632,18,2,0.095238
2026-03_04,global hydrogen,0.161106,25,2,0.095238
2026-03_04,steel,0.160463,35,5,0.238095
2026-03_04,industrial scale,0.147471,27,2,0.095238
2026-03_04,clean hydrogen,0.146232,35,3,0.142857
2026-03_04,aircraft,0.145883,27,2,0.095238
2026-03_04,hydrogen economy,0.141425,27,2,0.095238
2026-03_04,industrial demand,0.139445,28,2,0.095238
2026-03_04,hydrogen hubs,0.135552,26,3,0.142857
2026-03_04,refueling networks,0.130738,14,2,0.095238
2026-03_04,steel mills,0.130484,22,3,0.142857
2026-03_04,hydrogen electric,0.127656,5,1,0.047619
2026-03_04,hydrogen ready,0.122079,13,2,0.095238
2026-03_04,adopt hydrogen,0.121974,26,2,0.095238
2026-03_04,fuel cell systems,0.115935,21,2,0.095238
2026-03_04,domestic hydrogen,0.112253,21,2,0.095238
2026-03_04,scaling hydrogen,0.111156,2,1,0.047619
2026-03_04,hydrogen network,0.11065,13,2,0.095238
2026-03_04,liquid,0.108608,18,2,0.095238
2026-03_04,hydrogen pilots,0.106211,19,2,0.095238
2026-03_04,infrastructure pilot,0.100031,9,1,0.047619
2026-03_04,fuel cell electric,0.09826,13,2,0.095238
2026-03_04,storage solutions,0.096873,23,4,0.190476
2026-03_04,hydrogen refueling,0.095873,14,2,0.095238
2026-03_04,hydrogen ambitions,0.092957,9,2,0.095238
2026-03_04,gas infrastructure,0.090044,10,2,0.095238
2026-03_04,hydrogen costs,0.088558,19,2,0.095238
2026-03_04,refueling network,0.087937,10,2,0.095238
2026-03_04,infrastructure build,0.087714,12,2,0.095238
2026-03_04,clean green hydrogen,0.085516,11,2,0.095238
2026-03_04,production ramps,0.082502,13,2,0.095238
2026-03_04,refueling stations,0.079979,17,2,0.095238
2026-03_04,refueling think,0.069187,13,2,0.095238
2026-03_04,industrial hubs,0.06856,10,2,0.095238
2026-03_04,refuel,0.065646,6,2,0.095238
2026-03_04,duty transport,0.065148,14,2,0.095238
2026-03_04,heavy duty transport,0.065148,14,2,0.095238
2026-03_04,turbine,0.061766,7,2,0.095238
2026-03_04,high pressure hydrogen,0.061402,9,2,0.095238
2026-03_04,pressure hydrogen,0.061402,9,2,0.095238
2026-03_04,industrial zones,0.061241,12,2,0.095238
2026-03_04,fuel cell powered,0.060979,8,3,0.142857
2026-03_04,fuel cell stacks,0.059886,9,3,0.142857
2026-03_04,unless production,0.058895,10,2,0.095238
2026-03_04,gas hydrogen,0.057092,3,1,0.047619
2026-03_04,storage tanks,0.056551,10,2,0.095238
2026-03_04,blown hydrogen,0.055154,10,2,0.095238
2026-03_04,clean hydrogen production,0.047817,11,2,0.095238
2026-03_04,production plants,0.046121,7,2,0.095238
2026-03_04,gas turbine,0.043188,5,2,0.095238
2026-03_04,production sites,0.042649,7,2,0.095238
2026-03_04,units hydrogen,0.036916,2,1,0.047619
2026-03_04,generation hydrogen,0.032823,3,2,0.095238
2026-03_04,generation hydrogen fuel,0.032823,3,2,0.095238
2026-03_04,production industrial,0.0306,1,1,0.047619
2026-03_04,green hydrogen electrolysis,0.026285,1,1,0.047619
2026-03_04,storage solutions growing,0.010182,2,2,0.095238
2026-05_06,storage,0.821426,415,14,0.933333
2026-05_06,production,0.776692,355,14,0.933333
2026-05_06,fuel cell,0.768939,320,9,0.6
2026-05_06,green hydrogen,0.638491,257,11,0.733333
2026-05_06,industrial,0.601337,322,11,0.733333
2026-05_06,hydrogen infrastructure,0.557295,209,13,0.866667
2026-05_06,refueling,0.521973,192,10,0.666667
2026-05_06,hydrogen production,0.486753,200,13,0.866667
2026-05_06,aircraft,0.440841,82,2,0.133333
2026-05_06,fuel cells,0.438878,145,8,0.533333
2026-05_06,liquid hydrogen,0.426548,102,5,0.333333
2026-05_06,liquid,0.416571,119,7,0.466667
2026-05_06,aviation,0.354673,107,3,0.2
2026-05_06,clean hydrogen,0.34903,123,10,0.666667
2026-05_06,hydrogen storage,0.348006,122,10,0.666667
2026-05_06,electrolyzer,0.334422,91,7,0.466667
2026-05_06,electrolysis,0.305874,116,9,0.6
2026-05_06,hydrogen energy,0.290272,58,5,0.333333
2026-05_06,hydrogen fuel,0.285999,285,10,0.666667
2026-05_06,green hydrogen production,0.284169,94,9,0.6
2026-05_06,storage solutions,0.253008,70,8,0.533333
2026-05_06,transport,0.236037,61,4,0.266667
2026-05_06,shipping,0.231026,82,5,0.333333
2026-05_06,refueling stations,0.229292,80,8,0.533333
2026-05_06,hydrogen industry,0.219146,102,2,0.133333
2026-05_06,hydrogen production methods,0.214969,46,5,0.333333
2026-05_06,production methods,0.214969,46,5,0.333333
2026-05_06,hydrogen fuel cells,0.212095,58,6,0.4
2026-05_06,pipeline,0.205271,42,2,0.133333
2026-05_06,ammonia,0.203512,44,2,0.133333
2026-05_06,industrial sites,0.181187,43,3,0.2
2026-05_06,hydrogen powered,0.160971,42,5,0.333333
2026-05_06,fuel cell stacks,0.156805,48,2,0.133333
2026-05_06,hydrogen combustion,0.154608,29,3,0.2
2026-05_06,liquid hydrogen storage,0.151409,28,3,0.2
2026-05_06,production storage,0.148517,25,2,0.133333
2026-05_06,hydrogen aviation,0.145756,26,2,0.133333
2026-05_06,production hubs,0.14296,17,2,0.133333
2026-05_06,hydrogen systems,0.142143,18,1,0.066667
2026-05_06,clear hydrogen,0.138476,11,1,0.066667
2026-05_06,chapter hydrogen,0.138401,72,1,0.066667
2026-05_06,fuel cell research,0.135153,37,3,0.2
2026-05_06,cutting edge fuel cell,0.131444,26,2,0.133333
2026-05_06,edge fuel cell,0.131444,26,2,0.133333
2026-05_06,industrial parks,0.13026,16,2,0.133333
2026-05_06,hydrogen racing,0.127293,20,2,0.133333
2026-05_06,hydrogen hubs,0.126308,16,2,0.133333
2026-05_06,hydrogen refueling,0.126148,28,4,0.266667
2026-05_06,hydrogen offtake,0.124861,28,3,0.2
2026-05_06,clean hydrogen offtake,0.124514,26,2,0.133333
2026-05_06,industry hydrogen,0.123843,48,2,0.133333
2026-05_06,hydrogen sector,0.123232,126,2,0.133333
2026-05_06,fuel cell systems,0.122062,27,3,0.2
2026-05_06,hydrogen supply,0.120469,20,3,0.2
2026-05_06,pilot production,0.119087,20,2,0.133333
2026-05_06,fuel cell electric,0.118453,28,2,0.133333
2026-05_06,fuel cell technology,0.117859,26,3,0.2
2026-05_06,hydrogen refueling stations,0.116989,26,4,0.266667
2026-05_06,hydrogen economy,0.115605,132,2,0.133333
2026-05_06,carbon hydrogen,0.115374,21,3,0.2
2026-05_06,low carbon hydrogen,0.115374,21,3,0.2
2026-05_06,rapid refueling,0.111952,18,2,0.133333
2026-05_06,clean hydrogen infrastructure,0.111141,9,1,0.066667
2026-05_06,hydrogen aircraft,0.103679,17,2,0.133333
2026-05_06,produce hydrogen,0.102301,33,2,0.133333
2026-05_06,high pressure storage,0.099321,18,3,0.2
2026-05_06,pressure storage,0.099321,18,3,0.2
2026-05_06,robust hydrogen,0.099063,25,2,0.133333
2026-05_06,robust hydrogen infrastructure,0.099063,25,2,0.133333
2026-05_06,producing green hydrogen,0.098046,27,3,0.2
2026-05_06,energy storage,0.096137,14,2,0.133333
2026-05_06,clean hydrogen offtake agreements,0.094872,19,2,0.133333
2026-05_06,budding hydrogen,0.089635,14,2,0.133333
2026-05_06,industrial users,0.088013,15,2,0.133333
2026-05_06,steel,0.087906,21,4,0.266667
2026-05_06,industrial infrastructure,0.085668,7,1,0.066667
2026-05_06,industrial processes,0.085665,22,2,0.133333
2026-05_06,blue hydrogen,0.084569,17,3,0.2
2026-05_06,scale storage,0.08297,15,2,0.133333
2026-05_06,truck,0.081293,14,2,0.133333
2026-05_06,pem fuel cell,0.079794,13,2,0.133333
2026-05_06,gaseous hydrogen,0.075058,15,2,0.133333
2026-05_06,battery electric fuel cell,0.074555,8,1,0.066667
2026-05_06,electric fuel cell,0.074555,8,1,0.066667
2026-05_06,refueling infrastructure,0.074392,17,2,0.133333
2026-05_06,exporting hydrogen,0.065144,12,2,0.133333
2026-05_06,high pressure storage solutions,0.062371,9,2,0.133333
2026-05_06,pressure storage solutions,0.062371,9,2,0.133333
2026-05_06,duty transport,0.059923,12,2,0.133333
2026-05_06,heavy duty transport,0.059923,12,2,0.133333
2026-05_06,reliable hydrogen,0.05982,17,2,0.133333
2026-05_06,refueling protocols,0.057344,11,2,0.133333
2026-05_06,national hydrogen,0.055054,10,2,0.133333
2026-05_06,renewable hydrogen,0.043795,10,2,0.133333
2026-05_06,infrastructure ecosystem,0.043287,7,1,0.066667
2026-05_06,blending hydrogen,0.041185,5,1,0.066667
2026-05_06,fuel cell stack,0.039466,10,2,0.133333
2026-05_06,come hydrogen,0.026834,1,1,0.066667
2026-05_06,high pressure hydrogen,0.025879,6,3,0.2
2026-05_06,pressure hydrogen,0.025879,6,3,0.2
2026-05_06,change hydrogen,0.023264,1,1,0.066667
2026-05_06,energy hydrogen,0.022584,5,1,0.066667
2026-05_06,high pressure hydrogen storage,0.021298,5,2,0.133333
2026-05_06,pressure hydrogen storage,0.021298,5,2,0.133333
2026-05_06,latest clean hydrogen,0.009902,2,2,0.133333
2026-05_06,storage solutions growing,0.007016,2,2,0.133333
2026-05_06,make hydrogen,0.004978,2,2,0.133333
